Packet Length Std,Total Length of Bwd Packets,Subflow Bwd Bytes,Destination Port,Packet Length Variance,Bwd Packet Length Mean,Avg Bwd Segment Size,Bwd Packet Length Max,Init_Win_bytes_backward,Total Length of Fwd Packets,Subflow Fwd Bytes,Init_Win_bytes_forward,Average Packet Size,Packet Length Mean,Max Packet Length,Fwd Packet Length Max,Label
2.309401077,6,6,3527,5.333333333,6.0,6.0,6,0,2,2,1024,5.0,3.333333333,6,2,1
323.9946236,1776,1776,80,104972.5161,126.8571429,126.8571429,1770,946,514,514,8192,76.33333333,73.87096774,1770,430,0
0.0,0,0,80,0.0,0.0,0.0,0,-1,30,30,256,7.2,6.0,6,6,1
0.0,6,6,53653,0.0,6.0,6.0,6,62784,6,6,31270,9.0,6.0,6,6,0
64.40940481,354,354,53,4148.571429,177.0,177.0,177,-1,180,180,-1,96.5,82.71428571,177,45,0
1447.077937,11595,11595,80,2094034.555,1656.428571,1656.428571,4344,235,710,710,0,947.0,879.3571429,4344,349,1
2.309401077,6,6,5544,5.333333333,6.0,6.0,6,0,2,2,1024,5.0,3.333333333,6,2,1
8.76356092,110,110,53,76.8,55.0,55.0,55,-1,78,78,-1,56.75,45.4,55,39,0
0.0,0,0,80,0.0,0.0,0.0,0,-1,0,0,29200,0.0,0.0,0,0,1
3.464101615,6,6,3301,12.0,6.0,6.0,6,0,0,0,29200,3.0,2.0,6,0,1
3.464101615,6,6,1077,12.0,6.0,6.0,6,0,0,0,29200,3.0,2.0,6,0,1
1525.795477,11595,11595,80,2328051.838,1656.428571,1656.428571,5792,235,332,332,274,851.9285714,795.1333333,5792,332,1
713.6464128,51469,51469,443,509291.2025,1050.387755,1050.387755,2860,377,1779,1779,8192,633.9047619,626.4470588,2860,493,0
0.0,0,0,80,0.0,0.0,0.0,0,-1,0,0,29200,0.0,0.0,0,0,1
3.464101615,6,6,62078,12.0,6.0,6.0,6,0,0,0,29200,3.0,2.0,6,0,1
91.70165999,822,822,53,8409.194444,205.5,205.5,242,-1,152,152,-1,126.875,112.7777778,242,41,0
